date,Mkt-RF,SMB,HML,RMW,CMA,RF,PS_LEVEL,PS_INNOV,PS_VWF,MKT,ME,I/A,ROE
1992-01-31,-0.59,9.25,4.5,-1.3,3.19,0.34,-6.142515599999999,-3.5956052,-7.5784777,-0.42,8.34,1.51,-3.95
1992-02-29,1.09,1.37,6.36,0.29,2.03,0.28,-3.9232388,1.0972403,-4.5745347999999995,1.05,1.33,2.28,0.84
1992-03-31,-2.65,-0.9,3.66,-0.13,1.94,0.34,-3.8446768,1.7900253999999998,-0.1307503,-2.71,-1.24,2.0,1.09
1992-04-30,1.08,-5.73,4.28,1.71,2.22,0.32,3.4613378,4.7468167,-0.4842522,1.01,-6.98,1.81,-1.64
1992-05-31,0.3,0.21,1.27,-1.03,0.42,0.28,0.13321539999999998,5.2610824,-0.2338965,0.37,-0.34,0.36,-0.11
1992-06-30,-2.34,-2.71,3.41,-0.07,1.07,0.32,6.708421,0.9649743000000001,1.8128151000000001,-2.25,-2.59,0.56,0.8
1992-07-31,3.77,-0.63,-0.53,1.26,-0.82,0.31,-3.7047206,-4.8934247,2.4990333,3.7,-0.84,0.4,2.6
1992-08-31,-2.38,-0.41,-1.04,3.75,-1.58,0.26,-0.48508379999999995,0.6629689,4.9691933,-2.34,-0.35,-0.77,1.47
1992-09-30,1.19,0.51,-0.21,1.68,-0.61,0.26,1.2378035,3.3243978,-2.1590501,0.99,0.68,-0.41,2.28
1992-10-31,1.02,2.05,-2.1,1.37,-0.88,0.23,-5.9856137,-5.3877607,-1.8761888,0.87,1.51,-0.4,2.11
1992-11-30,4.13,3.91,-1.48,-0.74,-1.72,0.23,0.1799606,3.5218398,-5.3319412,3.78,3.68,-1.21,0.96
1992-12-31,1.53,1.63,2.51,-0.54,0.81,0.28,0.8335823000000001,2.2610867000000003,-2.7755889,1.55,2.77,1.45,1.81
1993-01-31,0.93,2.09,5.89,-1.66,2.9,0.23,0.47937559999999996,3.5604372000000004,0.2231555,1.03,2.32,3.02,-1.4
1993-02-28,0.13,-3.48,6.42,-0.44,4.08,0.22,-2.5149348999999996,-0.0795385,7.1160785,0.32,-3.3,3.59,-1.44
1993-03-31,2.3,0.05,1.24,-0.32,0.86,0.25,-3.7351563,-0.8441705,-2.4666759,2.26,-0.01,0.95,1.81
1993-04-30,-3.05,-0.85,2.61,-3.57,1.43,0.24,0.3013333,3.2716154,-1.648798,-2.78,-1.16,1.14,-3.09
1993-05-31,2.88,1.87,-3.42,0.0,-1.02,0.22,-1.4525488999999998,1.5020447,4.2099986,2.74,1.83,-0.78,-0.55
1993-06-30,0.31,0.11,2.61,-0.88,1.19,0.25,-1.8419991,1.1606599,-2.3109952000000002,0.27,1.6,1.83,2.95
1993-07-31,-0.34,0.9,3.24,-2.13,2.01,0.24,-1.8657929,0.723117,-1.0058215000000001,-0.32,1.43,1.46,-0.54
1993-08-31,3.72,0.25,-0.44,-1.1,-0.05,0.25,4.0883183999999995,2.4372105,2.3149207,3.69,-0.01,-0.08,0.47
1993-09-30,-0.12,3.07,-0.45,0.7,-0.08,0.26,2.5076742999999997,3.3390653,-7.421006200000001,-0.17,3.1,0.27,0.94
1993-10-31,1.41,1.6,-1.55,-0.05,0.6,0.22,0.4300488,1.3647468999999999,4.0338968,1.59,0.41,-0.55,-1.43
1993-11-30,-1.89,-1.42,-0.26,1.72,-0.95,0.25,1.5118459,2.8608411,4.524164799999999,-2.01,-1.89,-0.75,-0.77
1993-12-31,1.65,1.37,0.57,0.79,-0.31,0.23,4.995254200000001,3.1154651,0.7926337999999999,1.73,2.1,-0.24,2.36
1994-01-31,2.87,-0.17,2.09,-2.31,1.45,0.25,3.8801443,7.041695900000001,0.0796625,2.9,0.18,1.18,-0.82
1994-02-28,-2.56,2.63,-1.43,2.51,-1.04,0.21,-5.10396,-3.7688967000000004,1.3685741999999999,-2.63,2.64,-0.46,2.65
1994-03-31,-4.78,-1.02,1.31,0.6,1.27,0.27,-1.537955,-0.8015015000000001,2.9861777999999997,-4.83,-0.95,0.97,0.21
1994-04-30,0.68,-1.06,1.66,0.88,1.14,0.27,-7.4834533,-5.0883462,0.5672995000000001,0.68,-0.83,1.27,1.52
1994-05-31,0.58,-2.45,0.18,0.91,0.72,0.31,-3.9017867000000006,-0.00272,3.7436468,0.62,-1.98,0.54,-0.71
1994-06-30,-3.03,-0.53,1.68,1.07,1.5,0.31,-7.848010799999999,-3.4081395,0.0646169,-3.1,-0.87,0.97,0.16
1994-07-31,2.82,-1.84,0.99,-1.01,0.1,0.28,1.187593,6.332465599999999,-1.0430232,2.79,-1.46,0.41,0.67
1994-08-31,4.01,1.35,-3.45,1.23,-1.47,0.37,-1.7373587,3.5682449999999997,0.4915969,3.89,2.06,-0.68,2.04
1994-09-30,-2.31,2.59,-1.78,0.89,1.0,0.37,2.063491,1.6683607999999999,3.2971687,-2.2,2.18,0.55,1.04
1994-10-31,1.34,-2.27,-2.36,0.77,-0.64,0.38,3.0068672999999997,3.4300639,0.9489095999999999,1.07,-1.84,0.26,0.39
1994-11-30,-4.04,-0.06,-0.04,0.65,-0.45,0.37,-1.4579924,-4.3897052,-2.054014,-4.09,0.56,-0.96,1.4
1994-12-31,0.86,-0.02,0.28,0.85,0.34,0.44,-2.9581709,-0.70965,1.4423443999999999,0.82,1.18,1.33,4.02
1995-01-31,1.8,-2.89,1.66,0.49,-0.82,0.42,2.2103692,6.4983822,-3.3820074,1.62,-2.46,-0.11,-0.09
1995-02-28,3.63,-0.44,0.39,0.84,-0.32,0.4,2.3434807999999996,2.5063065,-0.6592169,3.56,-0.73,-0.84,0.48
1995-03-31,2.18,-0.57,-2.04,0.15,0.15,0.46,0.9981359000000001,-1.0773311,1.5768986000000003,2.29,-1.26,0.08,1.2
1995-04-30,2.11,-0.27,1.73,0.08,1.01,0.44,3.1559673999999998,5.251707,1.2805986,2.06,0.07,0.1,0.29
1995-05-31,2.9,-2.12,1.91,0.29,0.1,0.54,-0.22830629999999996,0.49044400000000005,-0.5888343,2.87,-2.21,0.88,-0.99
1995-06-30,2.72,3.02,-2.97,-0.17,-2.43,0.47,-2.6107394,-3.1384907,0.7993136,2.65,3.24,-1.73,2.17
1995-07-31,3.72,2.19,-2.24,1.06,-1.71,0.45,-0.698546,1.3730645,5.1379623,3.63,1.73,-2.52,0.95
1995-08-31,0.55,2.0,1.96,-0.98,1.65,0.47,-0.33406140000000006,1.9886803000000002,-0.9407186,0.47,2.4,2.22,0.17
1995-09-30,3.35,-1.89,-0.93,1.09,0.34,0.43,-2.7817991,-2.2558119,-7.7218643,3.21,-0.78,1.87,1.43
1995-10-31,-1.52,-4.2,-0.06,1.67,-0.01,0.47,-0.49283470000000007,1.0445756,2.8717706,-1.6,-5.02,0.76,2.81
1995-11-30,3.95,-0.98,0.32,-0.34,1.16,0.42,3.1899101,6.2070347,-2.2069317,3.86,-0.76,1.15,-0.23
1995-12-31,1.03,0.56,1.4,-1.8,2.96,0.49,-6.311740400000001,-2.6773162999999998,-3.527992,1.03,0.62,3.11,0.32
1996-01-31,2.26,-2.48,0.39,-0.59,2.25,0.43,-1.5917585,-0.5667786,6.833254,2.39,-2.63,2.49,-1.44
1996-02-29,1.33,1.93,-2.32,1.02,-1.79,0.39,2.4217896000000003,7.5637283,4.0855044,1.24,2.73,-0.97,3.13
1996-03-31,0.73,1.5,1.27,1.43,-0.92,0.39,-5.2205155,-4.4511522999999995,-4.1204882000000005,0.7,1.85,-0.64,0.26
1996-04-30,2.06,4.69,-4.06,0.74,-2.17,0.46,-2.4346542,1.9421123000000002,-4.8530732,2.09,5.15,-1.72,2.84
1996-05-31,2.36,3.21,-1.39,0.15,-0.2,0.42,0.8760001,1.9139348,-2.1154887,2.28,4.44,1.11,1.86
1996-06-30,-1.14,-3.67,1.92,2.28,1.11,0.4,-1.3614175,-0.9439017,-5.3305948,-1.23,-4.29,1.71,0.87
1996-07-31,-5.97,-3.64,4.36,2.86,2.57,0.45,-2.4604643999999998,0.2652615,0.4139717,-5.83,-3.35,2.0,2.39
1996-08-31,2.76,2.53,-0.58,-0.4,-2.34,0.41,8.036848099999998,10.285950199999998,0.6842666,2.83,2.46,-1.81,0.14
1996-09-30,5.02,-1.25,-3.75,1.9,-2.26,0.44,0.038718300000000004,-2.2436366,-2.2555658999999997,4.87,-1.44,-1.75,2.19
1996-10-31,0.86,-3.83,4.79,1.46,2.74,0.42,-0.2517787,-2.6147867999999996,-0.8760244,0.95,-2.41,3.64,1.9
1996-11-30,6.25,-3.62,0.15,2.77,-0.72,0.41,-0.8325612,-1.8867794,7.1604380999999995,6.16,-3.54,-1.29,0.82
1996-12-31,-1.7,3.11,1.01,0.27,1.58,0.46,2.4150984,3.6766352999999996,-4.1652027,-1.58,3.33,1.21,0.96
1997-01-31,4.99,-1.56,-2.36,2.37,-0.19,0.45,-1.6954861,5.956785,-3.7304644,4.95,-0.81,-0.63,1.78
1997-02-28,-0.49,-2.47,4.67,0.61,3.38,0.39,0.27049779999999995,-1.4258525,-3.5047167999999997,-0.49,-2.47,2.94,-1.55
1997-03-31,-5.03,-0.51,3.85,0.44,1.6,0.43,-0.7689105999999999,1.7881608,1.6797571,-4.92,-0.53,1.8,1.79
1997-04-30,4.04,-5.54,-1.03,3.86,-1.14,0.43,1.6680000000000001,1.9206076000000003,6.2034332999999995,3.81,-4.73,-1.88,3.96
1997-05-31,6.74,4.69,-4.37,-0.47,-2.94,0.49,2.7222342999999998,4.4249461,1.2049407,6.74,5.01,-3.23,-0.25
1997-06-30,4.1,1.32,0.76,1.12,0.36,0.37,-0.9755005000000001,-0.47967269999999995,0.8813395999999999,4.04,1.02,0.24,2.15
1997-07-31,7.33,-2.71,-0.13,0.05,-2.5,0.43,-0.7683293000000001,0.3334222,2.967413,7.22,-1.4,-2.99,1.33
1997-08-31,-4.15,7.65,1.36,-1.38,-0.05,0.41,-5.6921287000000005,-0.9528174,-1.1992877,-4.03,7.48,-0.76,-1.42
1997-09-30,5.35,2.63,-0.22,-1.06,-0.91,0.44,-2.7802411000000005,3.4503957,-2.2254505,5.39,2.39,-0.07,-1.02
1997-10-31,-3.8,-0.57,2.2,0.92,1.9,0.42,-17.0918477,-10.981342300000001,-0.2537659,-3.83,-1.08,2.62,-1.06
1997-11-30,2.98,-5.22,0.98,2.55,1.65,0.39,2.3458419,7.1797451,5.0539097,2.66,-5.53,2.89,1.42
1997-12-31,1.32,-2.07,3.82,1.19,1.9,0.48,-2.3220232,2.8213462999999996,1.364372,1.32,-2.27,2.28,1.64
1998-01-31,0.15,-1.32,-2.05,0.68,-0.85,0.43,-4.3521787,-7.0917913,2.036179,0.03,-1.19,-1.19,2.21
1998-02-28,7.03,0.17,-0.91,-0.09,-2.46,0.39,-12.0430847,0.0865463,7.715477900000001,6.95,1.07,-2.49,1.13
1998-03-31,4.76,-0.72,1.25,-1.49,-0.44,0.39,-4.784806,-0.8305302999999999,-1.9057027,4.68,-0.37,0.55,-0.3
1998-04-30,0.73,0.2,0.34,-1.33,-0.22,0.43,4.0129756,9.9562363,1.0359593999999999,0.66,0.48,0.19,-0.19
1998-05-31,-3.07,-3.1,4.13,0.58,2.51,0.4,0.6828368,1.3332673,-0.2607431,-2.96,-2.63,2.26,1.77
1998-06-30,3.18,-3.64,-2.17,-0.41,-2.91,0.41,-5.5642106,-2.9143565,2.812121,2.79,-3.31,-1.47,3.21
1998-07-31,-2.46,-5.27,-1.17,1.75,0.49,0.4,-4.3691818,0.2541238,2.3304027,-2.72,-5.7,1.88,0.98
1998-08-31,-16.08,-5.5,5.17,1.19,5.87,0.43,-6.369119599999999,-0.4976075999999999,-1.9523392,-16.19,-6.2,5.44,3.05
1998-09-30,6.15,-0.95,-3.8,-2.46,-2.92,0.46,-28.2232403,-27.126871800000004,4.7097161,6.0,-2.06,-3.07,-1.82
1998-10-31,7.13,-3.34,-2.67,2.13,0.24,0.32,-4.477988900000001,6.3022882000000005,0.189106,7.1,-2.16,-0.95,0.63
1998-11-30,6.1,0.78,-3.52,-0.67,-1.14,0.31,4.6680218,11.6142184,-1.3096600000000003,5.88,0.89,-0.02,1.37
1998-12-31,6.16,-1.55,-4.68,-1.45,-3.3,0.38,-15.3010845,-10.6401039,-0.27591020000000005,5.93,-1.88,-2.95,2.93
1999-01-31,3.5,-0.55,-5.6,-2.62,-6.81,0.35,6.4080205,6.6021361,-0.2916402,3.5,-1.89,-4.46,-3.25
1999-02-28,-4.08,-4.94,1.62,-0.89,4.13,0.35,-8.638422400000001,-6.2789008,2.4063993,-4.15,-4.23,4.82,0.01
1999-03-31,3.45,-4.13,-2.89,-3.61,-1.42,0.43,-6.9214439,-0.32992479999999996,-3.1424942000000002,3.39,-5.6,0.31,-0.69
1999-04-30,4.33,4.41,2.37,-2.73,0.97,0.37,20.1014985,28.6666656,10.3544171,4.53,3.98,2.65,-5.16
1999-05-31,-2.46,3.76,2.67,0.67,3.31,0.34,-13.4862606,-14.123661400000001,-0.6100007,-2.42,4.94,0.44,0.67
1999-06-30,4.77,2.49,-4.19,2.12,-3.32,0.4,6.1001627,6.8250147,-0.34078250000000004,4.67,3.15,-2.12,2.39
1999-07-31,-3.47,2.31,0.5,-0.24,3.15,0.38,8.139654,5.7710436,-0.9452851,-3.44,2.23,3.35,0.96
1999-08-31,-1.38,-1.81,-0.88,-0.25,0.4,0.39,4.537493099999999,-1.7690212,-0.2940292,-1.39,-1.55,-1.17,-0.01
1999-09-30,-2.81,2.55,-2.99,-0.64,-1.02,0.39,-4.758322099999999,-6.8854883,-7.3762208,-2.66,1.77,-1.33,-0.13
1999-10-31,6.13,-6.98,-3.13,-1.69,-1.16,0.39,10.2308002,9.2270989,10.739745300000001,5.86,-5.68,0.34,2.05
1999-11-30,3.37,6.29,-8.01,-3.25,-1.49,0.36,0.2565375,-3.6920781,-0.8715409000000001,3.3,5.73,-3.9,-2.97
1999-12-31,7.72,5.79,-9.4,-7.09,-5.05,0.44,-7.6955442,-8.451003300000002,-2.4983973,8.0,4.18,-5.5,-5.45
2000-01-31,-4.74,3.98,0.06,-6.9,4.76,0.41,-6.795158799999999,-4.5435541,1.5291941000000002,-4.4,5.64,2.87,-5.06
2000-02-29,2.45,19.18,-13.11,-17.57,0.17,0.43,-3.7552824,-0.7539056,1.1806387,2.75,22.13,-5.4,-7.53
2000-03-31,5.2,-15.36,7.97,11.41,-1.66,0.47,-0.6335184,10.9592599,-0.055952400000000006,4.91,-14.39,1.82,7.67
2000-04-30,-6.4,-5.76,9.29,7.44,5.22,0.46,-22.4435495,-21.897298000000003,-4.233122900000001,-6.41,-4.87,3.8,8.7
2000-05-31,-4.42,-3.68,3.87,4.04,0.88,0.5,6.323578400000001,8.4515298,-3.1390831,-4.37,-4.62,0.55,0.05
2000-06-30,4.64,10.61,-10.18,-7.0,-2.79,0.4,-18.2603653,-15.933171300000001,-3.2536444999999996,4.79,10.27,-3.42,-4.77
2000-07-31,-2.51,-1.1,8.55,5.32,2.98,0.48,5.7190614,-5.2033505,11.1815678,-2.25,0.99,2.25,3.43
2000-08-31,7.03,-1.06,-1.29,-3.21,0.63,0.5,-6.183416599999999,2.6087993,-0.6980748,7.0,0.42,-0.8,-2.05
2000-09-30,-5.45,-0.01,6.82,3.02,6.39,0.51,-15.446444199999998,-14.2351259,-3.8458977000000005,-5.62,1.63,5.24,2.09
2000-10-31,-2.76,-2.81,4.7,8.92,4.63,0.56,-13.1496168,-0.4373681,2.0600445,-2.97,-2.23,2.94,7.34
2000-11-30,-10.72,-0.71,12.29,12.19,8.48,0.51,-15.8285335,-13.863833,-4.4168379,-10.73,1.53,7.48,10.38
2000-12-31,1.19,3.24,6.11,1.66,5.67,0.5,9.5334508,6.0128874,0.6603296,1.55,4.68,6.35,5.19
2001-01-31,3.13,6.16,-5.66,-3.25,-6.53,0.54,-12.271246099999999,-3.0855329,6.731318999999999,3.44,2.74,-7.16,-10.82
2001-02-28,-10.05,2.39,13.91,7.62,9.51,0.38,-5.0944039000000005,-6.6524467000000005,4.2828483,-10.28,2.88,9.25,5.16
2001-03-31,-7.26,2.31,6.22,3.25,3.97,0.42,-5.364537299999999,2.7175492,7.1829055,-7.47,2.96,3.76,3.45
2001-04-30,7.94,-0.76,-4.38,-2.79,-4.04,0.39,-7.031367500000001,9.669618,0.3758355,8.0,-0.91,-3.77,0.07
2001-05-31,0.72,3.68,2.83,-0.36,2.25,0.32,9.948405099999999,11.387731500000001,3.0381169,0.73,4.38,2.34,-2.55
2001-06-30,-1.94,6.72,-2.28,1.91,-1.82,0.28,1.8690111999999999,8.9000941,0.2691334,-2.03,6.68,-1.77,-0.75
2001-07-31,-2.13,-2.78,5.56,7.99,3.02,0.3,-5.759232900000001,-0.9952975,3.5630821,-2.13,-2.11,1.36,3.95
2001-08-31,-6.46,2.46,3.28,3.0,6.54,0.31,-5.9617571,5.494248,4.7563452,-6.2,2.37,5.63,4.31
2001-09-30,-9.25,-5.87,1.82,4.43,3.25,0.28,-4.1496419,-12.2038563,-10.804899599999999,-9.42,-4.94,2.89,9.22
2001-10-31,2.46,5.26,-7.15,-1.29,-4.46,0.22,6.936856700000001,10.179473900000001,3.3630308999999996,2.57,3.5,-3.0,-4.42
2001-11-30,7.54,0.14,0.69,-2.24,-1.65,0.17,2.6282715000000003,-0.2548579,3.4322923999999997,7.7,-1.38,-1.14,-8.51
2001-12-31,1.61,5.21,0.47,-0.4,-0.24,0.15,1.1849242,5.668152500000001,6.8902866,1.64,5.33,-0.2,0.53
2002-01-31,-1.44,1.26,3.39,5.26,2.84,0.14,-6.6419565,-1.0568933999999999,-1.459399,-1.74,0.73,3.26,0.3
2002-02-28,-2.29,-0.89,3.89,6.14,5.14,0.13,-1.2856435,-1.0835797,1.537302,-2.3,-0.5,4.45,5.33
2002-03-31,4.24,4.32,1.12,-1.03,0.61,0.13,6.246393,2.9369707999999997,9.163598,4.33,4.63,0.76,-4.73
2002-04-30,-5.2,6.47,4.21,4.26,5.4,0.15,-10.7367425,-2.8831233,4.8134776,-5.12,7.59,4.07,5.46
2002-05-31,-1.38,-3.22,2.55,2.71,2.44,0.14,-3.4171316,-4.3997866,4.999893900000001,-1.2,-3.19,2.2,1.82
2002-06-30,-7.21,3.43,1.5,3.53,2.56,0.13,-11.6769518,-5.784971,-1.1776406000000001,-7.16,3.57,3.54,4.93
2002-07-31,-8.18,-6.23,-3.62,3.69,-0.73,0.15,-4.9746182,0.27768309999999996,-5.3504268,-8.27,-6.39,1.97,6.71
2002-08-31,0.5,-1.21,2.29,1.4,-1.59,0.14,-1.3322016,-0.10647880000000001,0.6137386,0.66,-0.02,-0.86,2.49
2002-09-30,-10.35,3.07,1.31,3.23,-2.29,0.14,-17.0705291,-9.895152199999998,-1.0117068,-10.14,3.14,-2.14,4.42
2002-10-31,7.84,-4.07,-6.45,-2.91,0.89,0.14,-33.3650668,-15.0247455,3.8504565,7.36,-5.15,0.29,-4.64
2002-11-30,5.96,3.2,-1.59,-8.86,5.03,0.12,-3.4877250999999996,3.4789307,3.0182837,6.01,1.5,3.27,-11.18
2002-12-31,-5.76,0.26,3.88,5.7,-1.63,0.11,-16.9024194,0.3061366,-1.4227154,-5.44,0.07,-2.26,5.32
2003-01-31,-2.57,0.85,-0.82,-0.35,0.69,0.1,-8.4677556,-8.1239009,-1.7638432,-2.43,-0.98,0.69,-0.6
2003-02-28,-1.88,-0.85,-1.45,1.05,-0.5,0.09,-3.9299129,-3.6645758,0.7227726,-1.63,-2.03,-0.13,0.91
2003-03-31,1.09,0.55,-1.58,1.74,-0.76,0.1,-10.7626575,-6.755774000000001,-0.0855769,0.93,1.4,-0.12,3.41
2003-04-30,8.22,1.31,-0.09,-4.05,1.03,0.1,-4.8803862,-0.4173801,4.7302362,8.18,2.36,1.04,-4.46
2003-05-31,6.05,4.97,0.09,-7.12,3.15,0.09,2.4382949,1.9100894,1.300844,6.26,3.82,1.84,-8.23
2003-06-30,1.42,1.62,0.71,0.89,-0.33,0.1,-1.8694368,-0.00568,-1.2384296000000001,1.54,2.22,-1.06,1.1
2003-07-31,2.35,5.05,-2.04,-3.09,1.98,0.07,-3.3763756999999996,2.3229197000000004,7.027246,2.24,4.38,2.34,-1.75
2003-08-31,2.34,2.6,1.76,-2.52,2.29,0.07,1.4239392,2.894015,1.7807442999999998,2.43,2.24,2.37,-1.24
2003-09-30,-1.24,0.46,0.93,1.01,0.24,0.08,-10.619394900000001,-3.3725353,1.6500270000000001,-1.0,0.69,0.23,1.26
2003-10-31,6.08,2.78,1.69,-1.06,1.61,0.07,-4.113090000000001,0.4257841,1.4914299,5.96,3.05,1.03,-1.75
2003-11-30,1.35,2.36,1.39,0.12,1.84,0.07,-3.1786195000000004,-0.4504073,-0.5526233,1.59,2.19,2.3,0.78
2003-12-31,4.29,-2.68,2.78,-0.57,0.96,0.08,-1.9439523,4.3619810999999995,-1.1243128999999998,4.47,-2.78,0.77,-1.74
2004-01-31,2.15,2.5,1.66,-3.58,3.31,0.07,-10.8785319,-2.2120518,-4.9479105,2.24,3.12,2.06,-2.43
2004-02-29,1.4,-0.86,0.44,2.12,-1.22,0.06,-3.6686973,-5.7906059,2.0388805,1.48,-0.31,-0.88,2.13
2004-03-31,-1.32,2.15,-0.05,1.52,-1.0,0.09,2.0564959000000003,7.0326499,2.4161072000000003,-1.15,2.52,-0.74,1.76
2004-04-30,-1.83,-2.48,-1.67,2.58,-2.9,0.08,-4.9906519000000005,1.4100002,-1.028238,-2.5,-3.22,-2.9,0.02
2004-05-31,1.17,-0.36,-0.26,-0.9,-0.01,0.06,0.25959329999999997,-1.6105459999999998,0.9330266,1.35,-0.38,0.55,1.07
